Country,Activity,Year,Unit,Quantity
Albania,Fuel,2020,Terajoules,230.27
Albania,Fuel,2019,Terajoules,150.67
Albania,Fuel,2018,Terajoules,121.69
Albania,Fuel,2017,Terajoules,113
Albania,Fuel,2016,Terajoules,113
Albania,Fuel,2015,Terajoules,225
Albania,Fuel,2014,Terajoules,213.52
Albania,Fuel,2013,Terajoules,198.74
Albania,Fuel,2012,Terajoules,196.78
Albania,Fuel,2011,Terajoules,242.83
Albania,Fuel,2010,Terajoules,234.46
Albania,Fuel,2009,Terajoules,234.46
Albania,Fuel,2008,Terajoules,230.27
Albania,Fuel,2007,Terajoules,217.71
Albania,Fuel,2006,Terajoules,126
Albania,Fuel,2005,Terajoules,126
Albania,Fuel,2004,Terajoules,126
Albania,Fuel,2003,Terajoules,126
Albania,Fuel,2002,Terajoules,126
Albania,Fuel,2001,Terajoules,109
Albania,Fuel,2000,Terajoules,84
Albania,Fuel,1999,Terajoules,132
Albania,Fuel,1998,Terajoules,106
Albania,Fuel,1997,Terajoules,214
Albania,Fuel,1996,Terajoules,298
Albania,Fuel,1995,Terajoules,456
Albania,Fuel,1994,Terajoules,2306
Albania,Fuel,1993,Terajoules,1666
Albania,Fuel,1992,Terajoules,846
Albania,Fuel,1991,Terajoules,1529
Albania,Fuel,1990,Terajoules,353
Albania,Energy,2020,Terajoules,68.6
Albania,Energy,2019,Terajoules,60
Albania,Energy,2018,Terajoules,50
Albania,Energy,2017,Terajoules,40
Albania,Energy,2016,Terajoules,40
Albania,Energy,2015,Terajoules,57.4
Albania,Energy,2014,Terajoules,54.43
Albania,Energy,2013,Terajoules,54.43
Albania,Energy,2012,Terajoules,54.43
Albania,Energy,2011,Terajoules,138.16
Albania,Energy,2010,Terajoules,138.16
Albania,Energy,2009,Terajoules,138.16
Albania,Energy,2008,Terajoules,138.16
Albania,Own Use,2020,Terajoules,68.6
Albania,Own Use,2019,Terajoules,60
Albania,Own Use,2018,Terajoules,50
Albania,Own Use,2017,Terajoules,40
Albania,Own Use,2016,Terajoules,40
Albania,Own Use,2015,Terajoules,57.4
Albania,Own Use,2014,Terajoules,54.43
Albania,Own Use,2013,Terajoules,54.43
Albania,Own Use,2012,Terajoules,54.43
Albania,Own Use,2011,Terajoules,138.16
Albania,Own Use,2010,Terajoules,138.16
Albania,Own Use,2009,Terajoules,138.16
Albania,Own Use,2008,Terajoules,138.16
Albania,Own Use,2020,Terajoules,0
Albania,Own Use,2019,Terajoules,0
Albania,Own Use,2018,Terajoules,0
Albania,Own Use,2017,Terajoules,0
Albania,Own Use,2016,Terajoules,0
Albania,Own Use,2015,Terajoules,0
Albania,Own Use,2014,Terajoules,0
Albania,Own Use,2013,Terajoules,0
Albania,Own Use,2012,Terajoules,0
Albania,Own Use,2011,Terajoules,0
Albania,Own Use,2010,Terajoules,0
Albania,Own Use,2009,Terajoules,0
Albania,Own Use,2008,Terajoules,0
Albania,Own Use,2007,Terajoules,0
Albania,Own Use,2006,Terajoules,0
Albania,Own Use,2005,Terajoules,0
Albania,Own Use,2004,Terajoules,0
Albania,Own Use,2003,Terajoules,0
Albania,Own Use,2002,Terajoules,0
Albania,Own Use,2001,Terajoules,0
Albania,Own Use,2000,Terajoules,0
Albania,Own Use,1999,Terajoules,0
Albania,Own Use,1998,Terajoules,0
Albania,Own Use,1997,Terajoules,0
Albania,Own Use,1996,Terajoules,0
Albania,Own Use,1995,Terajoules,0
Albania,Own Use,1994,Terajoules,0
Albania,Own Use,1993,Terajoules,0
Albania,Own Use,1992,Terajoules,0
Albania,Own Use,1991,Terajoules,0
Albania,Own Use,1990,Terajoules,0
Albania,Energy,2020,Terajoules,161.67
Albania,Energy,2019,Terajoules,90.67
Albania,Energy,2018,Terajoules,71.69
Albania,Energy,2017,Terajoules,73
Albania,Energy,2016,Terajoules,73
Albania,Energy,2015,Terajoules,167.6
Albania,Energy,2014,Terajoules,159.1
Albania,Energy,2013,Terajoules,144.32
Albania,Energy,2012,Terajoules,142.35
Albania,Energy,2011,Terajoules,104.67
Albania,Energy,2010,Terajoules,96.29
Albania,Energy,2009,Terajoules,96.29
Albania,Energy,2008,Terajoules,92.11
Albania,Energy,2007,Terajoules,217.71
Albania,Energy,2006,Terajoules,106
Albania,Energy,2005,Terajoules,106
Albania,Energy,2004,Terajoules,106
Albania,Energy,2003,Terajoules,106
Albania,Energy,2002,Terajoules,106
Albania,Energy,2001,Terajoules,90
Albania,Energy,2000,Terajoules,70
Albania,Energy,1999,Terajoules,111
Albania,Energy,1998,Terajoules,106
Albania,Energy,1997,Terajoules,214
Albania,Energy,1996,Terajoules,298
Albania,Energy,1995,Terajoules,456
Albania,Energy,1994,Terajoules,2306
Albania,Energy,1993,Terajoules,1666
Albania,Energy,1992,Terajoules,846
Albania,Energy,1991,Terajoules,1529
Albania,Energy,1990,Terajoules,353
Albania,Consumption,2020,Terajoules,161.67
Albania,Consumption,2019,Terajoules,90.67
Albania,Consumption,2018,Terajoules,71.69
Albania,Consumption,2017,Terajoules,73
Albania,Consumption,2016,Terajoules,73
Albania,Consumption,2015,Terajoules,167.6
Albania,Consumption,2014,Terajoules,159.1
