Country or Area,Commodity - Transaction,Year,Unit,Quantity,Quantity Footnotes
Albania,Heat - Gross production,2020,Terajoules,230.27,
Albania,Heat - Gross production,2019,Terajoules,150.67,
Albania,Heat - Gross production,2018,Terajoules,121.69,
Albania,Heat - Gross production,2017,Terajoules,113,
Albania,Heat - Gross production,2016,Terajoules,113,1
Albania,Heat - Gross production,2015,Terajoules,225,1
Albania,Heat - Gross production,2014,Terajoules,213.52,
Albania,Heat - Gross production,2013,Terajoules,198.74,
Albania,Heat - Gross production,2012,Terajoules,196.78,
Albania,Heat - Gross production,2011,Terajoules,242.83,
Albania,Heat - Gross production,2010,Terajoules,234.46,
Albania,Heat - Gross production,2009,Terajoules,234.46,
Albania,Heat - Gross production,2008,Terajoules,230.27,
Albania,Heat - Gross production,2007,Terajoules,217.71,
Albania,Heat - Gross production,2006,Terajoules,126,
Albania,Heat - Gross production,2005,Terajoules,126,
Albania,Heat - Gross production,2004,Terajoules,126,
Albania,Heat - Gross production,2003,Terajoules,126,
Albania,Heat - Gross production,2002,Terajoules,126,
Albania,Heat - Gross production,2001,Terajoules,109,
Albania,Heat - Gross production,2000,Terajoules,84,
Albania,Heat - Gross production,1999,Terajoules,132,
Albania,Heat - Gross production,1998,Terajoules,106,
Albania,Heat - Gross production,1997,Terajoules,214,
Albania,Heat - Gross production,1996,Terajoules,298,
Albania,Heat - Gross production,1995,Terajoules,456,
Albania,Heat - Gross production,1994,Terajoules,2306,
Albania,Heat - Gross production,1993,Terajoules,1666,
Albania,Heat - Gross production,1992,Terajoules,846,
Albania,Heat - Gross production,1991,Terajoules,1529,
Albania,Heat - Gross production,1990,Terajoules,353,
Albania,From combustible fuels – Main activity,2020,Terajoules,230.27,
Albania,From combustible fuels – Main activity,2019,Terajoules,150.67,
Albania,From combustible fuels – Main activity,2018,Terajoules,121.69,
Albania,From combustible fuels – Main activity,2017,Terajoules,113,
Albania,From combustible fuels – Main activity,2016,Terajoules,113,1
Albania,From combustible fuels – Main activity,2015,Terajoules,225,1
Albania,From combustible fuels – Main activity,2014,Terajoules,213.52,
Albania,From combustible fuels – Main activity,2013,Terajoules,198.74,
Albania,From combustible fuels – Main activity,2012,Terajoules,196.78,
Albania,From combustible fuels – Main activity,2011,Terajoules,242.83,
Albania,From combustible fuels – Main activity,2010,Terajoules,234.46,
Albania,From combustible fuels – Main activity,2009,Terajoules,234.46,
Albania,From combustible fuels – Main activity,2008,Terajoules,230.27,
Albania,From combustible fuels – Main activity,2007,Terajoules,217.71,
Albania,From combustible fuels – Main activity,2006,Terajoules,126,
Albania,From combustible fuels – Main activity,2005,Terajoules,126,
Albania,From combustible fuels – Main activity,2004,Terajoules,126,
Albania,From combustible fuels – Main activity,2003,Terajoules,126,
Albania,From combustible fuels – Main activity,2002,Terajoules,126,
Albania,From combustible fuels – Main activity,2001,Terajoules,109,
Albania,From combustible fuels – Main activity,2000,Terajoules,84,
Albania,From combustible fuels – Main activity,1999,Terajoules,132,
Albania,From combustible fuels – Main activity,1998,Terajoules,106,
Albania,From combustible fuels – Main activity,1997,Terajoules,214,
Albania,From combustible fuels – Main activity,1996,Terajoules,298,
Albania,From combustible fuels – Main activity,1995,Terajoules,456,
Albania,From combustible fuels – Main activity,1994,Terajoules,2306,
Albania,From combustible fuels – Main activity,1993,Terajoules,1666,
Albania,From combustible fuels – Main activity,1992,Terajoules,846,
Albania,From combustible fuels – Main activity,1991,Terajoules,1529,
Albania,From combustible fuels – Main activity,1990,Terajoules,353,
Albania,From combustible fuels – Main activity – Heat plants,2020,Terajoules,230.27,
Albania,From combustible fuels – Main activity – Heat plants,2019,Terajoules,150.67,
Albania,From combustible fuels – Main activity – Heat plants,2018,Terajoules,121.69,
Albania,From combustible fuels – Main activity – Heat plants,2017,Terajoules,113,
Albania,From combustible fuels – Main activity – Heat plants,2016,Terajoules,113,1
Albania,From combustible fuels – Main activity – Heat plants,2015,Terajoules,225,1
Albania,From combustible fuels – Main activity – Heat plants,2014,Terajoules,213.52,
Albania,From combustible fuels – Main activity – Heat plants,2013,Terajoules,198.74,
Albania,From combustible fuels – Main activity – Heat plants,2012,Terajoules,196.78,
Albania,From combustible fuels – Main activity – Heat plants,2011,Terajoules,242.83,
Albania,From combustible fuels – Main activity – Heat plants,2010,Terajoules,234.46,
Albania,From combustible fuels – Main activity – Heat plants,2009,Terajoules,234.46,
Albania,From combustible fuels – Main activity – Heat plants,2008,Terajoules,230.27,
Albania,From combustible fuels – Main activity – Heat plants,2007,Terajoules,217.71,
Albania,From combustible fuels – Main activity – Heat plants,2006,Terajoules,126,
Albania,From combustible fuels – Main activity – Heat plants,2005,Terajoules,126,
Albania,From combustible fuels – Main activity – Heat plants,2004,Terajoules,126,
Albania,From combustible fuels – Main activity – Heat plants,2003,Terajoules,126,
Albania,From combustible fuels – Main activity – Heat plants,2002,Terajoules,126,
Albania,From combustible fuels – Main activity – Heat plants,2001,Terajoules,109,
Albania,From combustible fuels – Main activity – Heat plants,2000,Terajoules,84,
Albania,From combustible fuels – Main activity – Heat plants,1999,Terajoules,132,
Albania,From combustible fuels – Main activity – Heat plants,1998,Terajoules,106,
Albania,From combustible fuels – Main activity – Heat plants,1997,Terajoules,214,
Albania,From combustible fuels – Main activity – Heat plants,1996,Terajoules,298,
Albania,From combustible fuels – Main activity – Heat plants,1995,Terajoules,456,
Albania,From combustible fuels – Main activity – Heat plants,1994,Terajoules,2306,
Albania,From combustible fuels – Main activity – Heat plants,1993,Terajoules,1666,
Albania,From combustible fuels – Main activity – Heat plants,1992,Terajoules,846,
Albania,From combustible fuels – Main activity – Heat plants,1991,Terajoules,1529,
Albania,From combustible fuels – Main activity – Heat plants,1990,Terajoules,353,
Albania,Heat - Net production,2020,Terajoules,230.27,
Albania,Heat - Net production,2019,Terajoules,150.67,
Albania,Heat - Net production,2018,Terajoules,121.69,
Albania,Heat - Net production,2017,Terajoules,113,
Albania,Heat - Net production,2016,Terajoules,113,1
Albania,Heat - Net production,2015,Terajoules,225,1
Albania,Heat - Net production,2014,Terajoules,213.52,
Albania,Heat - Net production,2013,Terajoules,198.74,
Albania,Heat - Net production,2012,Terajoules,196.78,
Albania,Heat - Net production,2011,Terajoules,242.83,
Albania,Heat - Net production,2010,Terajoules,234.46,
Albania,Heat - Net production,2009,Terajoules,234.46,
Albania,Heat - Net production,2008,Terajoules,230.27,
Albania,Heat - Net production,2007,Terajoules,217.71,
Albania,Heat - Net production,2006,Terajoules,126,
Albania,Heat - Net production,2005,Terajoules,126,
Albania,Heat - Net production,2004,Terajoules,126,
Albania,Heat - Net production,2003,Terajoules,126,
Albania,Heat - Net production,2002,Terajoules,126,
Albania,Heat - Net production,2001,Terajoules,109,
Albania,Heat - Net production,2000,Terajoules,84,
Albania,Heat - Net production,1999,Terajoules,132,
Albania,Heat - Net production,1998,Terajoules,106,
Albania,Heat - Net production,1997,Terajoules,214,
Albania,Heat - Net production,1996,Terajoules,298,
Albania,Heat - Net production,1995,Terajoules,456,
Albania,Heat - Net production,1994,Terajoules,2306,
Albania,Heat - Net production,1993,Terajoules,1666,
Albania,Heat - Net production,1992,Terajoules,846,
Albania,Heat - Net production,1991,Terajoules,1529,
Albania,Heat - Net production,1990,Terajoules,353,
Albania,Heat - Energy industries own use,2020,Terajoules,68.6,
Albania,Heat - Energy industries own use,2019,Terajoules,60,
Albania,Heat - Energy industries own use,2018,Terajoules,50,
Albania,Heat - Energy industries own use,2017,Terajoules,40,
Albania,Heat - Energy industries own use,2016,Terajoules,40,1
Albania,Heat - Energy industries own use,2015,Terajoules,57.4,1
Albania,Heat - Energy industries own use,2014,Terajoules,54.43,
Albania,Heat - Energy industries own use,2013,Terajoules,54.43,
Albania,Heat - Energy industries own use,2012,Terajoules,54.43,
Albania,Heat - Energy industries own use,2011,Terajoules,138.16,
Albania,Heat - Energy industries own use,2010,Terajoules,138.16,
Albania,Heat - Energy industries own use,2009,Terajoules,138.16,
Albania,Heat - Energy industries own use,2008,Terajoules,138.16,
Albania,Heat - Own use by oil refineries,2020,Terajoules,68.6,
Albania,Heat - Own use by oil refineries,2019,Terajoules,60,
Albania,Heat - Own use by oil refineries,2018,Terajoules,50,
Albania,Heat - Own use by oil refineries,2017,Terajoules,40,
Albania,Heat - Own use by oil refineries,2016,Terajoules,40,1
Albania,Heat - Own use by oil refineries,2015,Terajoules,57.4,1
Albania,Heat - Own use by oil refineries,2014,Terajoules,54.43,
Albania,Heat - Own use by oil refineries,2013,Terajoules,54.43,
Albania,Heat - Own use by oil refineries,2012,Terajoules,54.43,
Albania,Heat - Own use by oil refineries,2011,Terajoules,138.16,
Albania,Heat - Own use by oil refineries,2010,Terajoules,138.16,
Albania,Heat - Own use by oil refineries,2009,Terajoules,138.16,
Albania,Heat - Own use by oil refineries,2008,Terajoules,138.16,
Albania,"Heat - Own use by electricity, CHP and heat plants",2020,Terajoules,0,
Albania,"Heat - Own use by electricity, CHP and heat plants",2019,Terajoules,0,
Albania,"Heat - Own use by electricity, CHP and heat plants",2018,Terajoules,0,
Albania,"Heat - Own use by electricity, CHP and heat plants",2017,Terajoules,0,
Albania,"Heat - Own use by electricity, CHP and heat plants",2016,Terajoules,0,1
Albania,"Heat - Own use by electricity, CHP and heat plants",2015,Terajoules,0,1
Albania,"Heat - Own use by electricity, CHP and heat plants",2014,Terajoules,0,
Albania,"Heat - Own use by electricity, CHP and heat plants",2013,Terajoules,0,
Albania,"Heat - Own use by electricity, CHP and heat plants",2012,Terajoules,0,
Albania,"Heat - Own use by electricity, CHP and heat plants",2011,Terajoules,0,
Albania,"Heat - Own use by electricity, CHP and heat plants",2010,Terajoules,0,
Albania,"Heat - Own use by electricity, CHP and heat plants",2009,Terajoules,0,
